task	desc	conds	weights
tomloc	belief-photo	belief photo	1 -1
langloc	sentence-nonword	sentence nonword	1 -1
awe	emo-phys	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 0.048 -0.334 -0.334 -0.334
awe	Afraidterrified	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Amazed	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Angryfurious	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Annoyed	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Calmcontent	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Disappointed	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Disgusted	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Embarrassed	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Excited	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Grateful	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Guilty	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Happyjoyful	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
awe	Hopeful	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
awe	Impressed	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
awe	Jealous	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
awe	Lonely	Afraidterrified Amazed Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
