task	desc	conds	weights
tomloc	belief-photo	belief photo	1 -1
langloc	sentence-nonword	sentence nonword	1 -1
pixar	mind-body	mind body	1 -1
awe	emo-phys	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 -0.334 -0.334 -0.334
awe	Afraidterrified	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Angryfurious	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Annoyed	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Calmcontent	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Disappointed	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Disgusted	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Embarrassed	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Excited	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Grateful	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Guilty	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
awe	Happyjoyful	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
awe	Hopeful	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
awe	Impressed	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
awe	Jealous	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
awe	Lonely	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
awe	Nostalgia	Afraidterrified Angryfurious Annoyed Calmcontent Disappointed Disgusted Embarrassed Excited Grateful Guilty Happyjoyful Hopeful Impressed Jealous Lonely Nostalgia Proud Saddevastated Surprised Worriedapprehensive Dizzy Full Warm	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
